snapshot_timestamp,token_symbol,token_address,network,pool_name,pool_address,dex,fee_percent,tvl_usd,volume_24h_usd,token_price_usd,token_fdv_usd,token_mc_usd,is_bio_pair,our_position_value_usd,target_lp_value_usd,lp_gap_usd,bio_price_usd,target_fdv_percentage,price_change_24h_percent,price_change_7d_percent,tvl_change_7d_percent
2025-08-22T11:42:34.986417+00:00,BIO,0xcb1592591996765ec0efc1f92599a19767ee5ffa,ethereum,BIO/WETH,0x08a5a1e2671839dadc25e2e20f9206fd33c88092,unknown,0,2055128.0402,4979595.68348615,0,0,0,True,0.0,0,0,0.1918661747,1.0,0.0,0.0,-66.79234741637757
2025-08-22T11:42:34.986417+00:00,VITA,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321,ethereum,VITA/WETH,0xcbcc3cbad991ec59204be2963b4a87951e4d292b,unknown,0,577292.8137,393192.650601264,2.09,134384659.2,54205873,False,0,0,0,0.1918661747,1.0,12.365591397849448,26.666666666666668,47.24885473693724
2025-08-22T11:42:34.986417+00:00,VITA,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321,ethereum,VITA/BIO,0x2dc8fbafc10da100f2f12807b93cbb3e5ff7e6b0,unknown,0,2470046.8396,264640.178153127,2.09,134384659.2,54205873,True,0.0,1343846.592,1343846.592,0.1918661747,1.0,12.365591397849448,26.666666666666668,47.24885473693724
2025-08-22T11:42:34.986417+00:00,NEURON,0xab814ce69e15f6b9660a3b184c0b0c97b9394a6b,ethereum,NEURON/BIO,0x4384273ccd97a503448ca46b3fd1da31689eb2ef,unknown,0,756579.7779,58307.8892026842,0.00030772,26463920.0,8011070,True,0,264639.2,264639.2,0.1918661747,1.0,23.137254901960777,66.94878472222221,-29.254028255211455
2025-08-22T11:42:34.986417+00:00,HAIR,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,ethereum,HAIR/WETH,0x94dd312f6cb52c870aacfeeb8bf5e4e28f6952ff,unknown,0,1633885.6774,286053.203182883,88.61,135869080.18,61653545,False,0,0,0,0.1918661747,1.0,14.129314786192682,39.609264219316216,-45.23241808599496
2025-08-22T11:42:34.986417+00:00,GROW,0x761A3557184cbC07b7493da0661c41177b2f97fA,ethereum,GROW/WETH,0x61847189477150832d658d8f34f84c603ac269af,unknown,0,927791.154,120438.342262318,0.675019,67501900.0,20266052,False,0,0,0,0.1918661747,1.0,13.866620765934062,0.0,-42.01798624404895
2025-08-22T11:42:34.986417+00:00,BIO,0xcb1592591996765ec0efc1f92599a19767ee5ffa,ethereum,BIO/ETH,0xc8c4ec62ee9aed213a68d3c49b2b64b630a26873c5b003f40db4d357834bfd96,unknown,0,1264642.3677,1769509.79262358,0,0,0,True,0,0,0,0.1918661747,1.0,0.0,0.0,-66.79234741637757
2025-08-22T11:42:34.986417+00:00,ATH,0xa4ffdf3208f46898ce063e25c1c43056fa754739,ethereum,ATH/WETH,0x8071df1889d60a1c6329ef79976fb1f2e50599af,unknown,0,323556.5732,40455.8262081649,0.560194,56019400.0,4850744,False,0,0,0,0.1918661747,1.0,12.236437142163625,0.0,-63.611580642997424
2025-08-22T11:42:34.986417+00:00,QBIO,0x3E6A1b21bd267677Fa49BE6425aEbe2fc0f89bDE,ethereum,QBIO/WETH,0x4830570554606cbc37478ab773fde991261fd99c,unknown,0,632344.453,41612.3342058419,0.01143654724,4660003.398029688,2203486.53685245,True,0,46600.03398029688,46600.03398029688,0.1918661747,1.0,9.739934174543018,0.0,-58.490858018122005
2025-08-22T11:42:34.986417+00:00,VITA,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321,ethereum,VITA-FAST/VITA,0x9263a956c4186d0527c317cedbea6f8925297db0,unknown,0,558862.5304,5175.9334387866,2.09,134384659.2,54205873,False,0,0,0,0.1918661747,1.0,12.365591397849448,26.666666666666668,47.24885473693724
